nacchoid,module,lhdname,scity,sstate,simplepopsourcecode,popcat3,popcat5,popcat7,popcat8,popcat9,q1,q2,q14b,q14c,q15,q15r,q16,q17a,q17ab,q17b,q17c,q17cd,q17d,q17e,q17f,q17g,q17h,q17i,q17j,q17k,q17l,q17m,q17text,q18,q19a,q19b,q19c,q20,q21,govcat,yearstenure,State,Contact_Category,v008_Profile,FIPS_CY,Col1,Col2,Locale_State_FIPS_Code,Year,Numeric_Value,PrimaryLast
CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,I,CI,CI,CI,CI,CI,CI,CI,CI,I,CI
MO001,NA,Adair County Health Department/Home Health Agency,Kirksville,MO,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,24648,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,2,local,29.75,MO,LHD,1,29001,Adair,County,29,2003,12.8,Duplicate Case
IA001,module 2,Adair County Home Care,Greenfield,IA,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",county,8055,6,2008,710118,"$500,000-$999,999",698955,0,68750,68750,86379,86379,0,29094,315986,144915,6010,49762,21722,0,0,0,NA,2,12397,451,0,1,0.5,local,6.17,IA,LHD,1,19001,NA,NA,NA,NA,NA,NA
IA002,NA,Adams County / Alegent Health Family Home Care,Corning,IA,esri 2007,<50000,<25000,"<25,000","<10,000","<10,000",city/county,4264,6,2008,498472,"<$500,000",579806,0,108239,108239,167114,167114,0,0,90056,180616,0,1244,32026,0,0,0,NA,1,17276,0,0,0,NA,local,5.25,IA,LHD,1,19003,NA,NA,NA,NA,NA,NA
IL001,module 3,Adams County Health Department,Quincy,IL,esri 2007,50000-499999,50000-99999,"50,000-99,999","50,000-99,999","50,000-74,999",county,67795,11,2007,3478831,"$1,000,000-$4,999,999",4035708,0,711666,711666,1560021,1812721,252700,47267,0,0,208600,0,978573,276881,0,0,NA,1,44510,0,0,1,1,local,13.75,IL,LHD,1,17001,NA,NA,NA,NA,NA,NA
WA001,NA,Adams County Health Department,Othello,WA,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,17555,12,2007,745780,"$500,000-$999,999",746341,0,173341,173341,214981,391116,176135,0,93683,0,0,0,36260,51941,0,0,NA,1,20748,11606,0,1,0.3,local,4.92,WA,LHD,1,53001,Adams,County,53,2005,12.8,Duplicate Case
IN001,NA,Adams County Health Department - Clinic,Decatur,IN,esri 2007,<50000,25000-49999,"25,000-50,000","25,000-50,000","25,000-49,999",county,34027,1,2008,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,0,0,local,10.92,IN,LHD,1,18001,NA,NA,NA,NA,NA,NA
WI001,NA,Adams County Public Health,Friendship,WI,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,21918,12,2007,716280,"$500,000-$999,999",714774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,School nursing services,NA,32055,10199,0,NA,NA,local,19.25,WI,LHD,1,55001,NA,NA,NA,NA,NA,NA
MN084,NA,Aitkin County Health and Human Services,Aitkin,MN,esri 2007,<50000,<25000,"<25,000","10,000-24,999","10,000-24,999",county,16758,1,2008,571209,"$500,000-$999,999",581540,0,350099,350099,49401,74635,25234,107484,53,11727,0,32580,4962,0,0,0,NA,1,17297,11745,0,NA,0.5,local,11.58,MN,LHD,1,27001,NA,NA,NA,NA,NA,NA
FL002,module 2,Alachua County Health Department,Gainesville,FL,esri 2007,50000-499999,100000-499999,"100,000-249,999","100,000-249,999","200,000-499,999",county,244351,6,2008,14959822,"$10,000,000+",16150628,0,1009875,1009875,6799014,8439664,1640650,0,2345370,128143,0,194398,489601,0,0,3543577,"Vital Statistics, Environmental health fees, Health Planning Council funding for Healthy Start and Ryan White, interest",1,507847,132647,0,1,2,state,0.75,FL,LHD,1,12001,Alachua,County,12,2008,11.6,Duplicate Case
